metric,metricName,sourceRole,primarySource,supplementSource,validationSource,detailTables,unitPolicy,signPolicy,consolidationPolicy,replacementStrategy,reportUse,conflictThreshold
businessLoanNpl,businessLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
creditCardLoanNpl,creditCardLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
housingLoanShare,housingLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
consumerLoanShare,consumerLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
businessLoanShare,businessLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
retailRiskMax,retailRiskMax,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
retailRiskSpread,retailRiskSpread,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
pb,pb,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
pbMid,pbMid,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
peTtm,peTtm,supplement,,tushare_market,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,补充主表缺口，不覆盖经营财报主口径；进入报告时标注市场快照口径。,资本市场专题、估值解释、附录,0.05
divYield,divYield,supplement,,tushare_market,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,补充主表缺口，不覆盖经营财报主口径；进入报告时标注市场快照口径。,资本市场专题、估值解释、附录,0.05
divYieldTtm,divYieldTtm,supplement,,tushare_market,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,补充主表缺口，不覆盖经营财报主口径；进入报告时标注市场快照口径。,资本市场专题、估值解释、附录,0.05
totalMarketValue,totalMarketValue,supplement,,tushare_market,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,补充主表缺口，不覆盖经营财报主口径；进入报告时标注市场快照口径。,资本市场专题、估值解释、附录,0.05
turnoverRate,turnoverRate,supplement,,tushare_market,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,补充主表缺口，不覆盖经营财报主口径；进入报告时标注市场快照口径。,资本市场专题、估值解释、附录,0.05
cet1,核心一级资本充足率,validation,main,,annual_report_scraped,special_metrics_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.05
cet1Buffer,cet1Buffer,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
carBuffer,carBuffer,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
rwaDensity,rwaDensity,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
estimatedRwa,estimatedRwa,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
estimatedRwaGrowth,estimatedRwaGrowth,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
rwaProfitGrowthGap,rwaProfitGrowthGap,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
rwaAssetGrowthGap,rwaAssetGrowthGap,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
pbChange,pbChange,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
bondInvestment,bondInvestment,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
fundInvestment,fundInvestment,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
trustWmInvestment,trustWmInvestment,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
tradAsset,tradAsset,detail-only,main,,annual_report_scraped,financials_core_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
fvociAssets,fvociAssets,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
acAssets,acAssets,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
htmInvest,htmInvest,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
afaAssets,afaAssets,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
debtInvestment,debtInvestment,detail-only,main,,annual_report_scraped,financials_core_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
otherDebtInvestment,otherDebtInvestment,detail-only,main,,annual_report_scraped,financials_core_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
investmentAssetRatio,investmentAssetRatio,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
