metric_code,metric_name,theme,direction,unit,source_group,source_field,formula,is_derived,is_critical,used_in_warning,missing_policy
estimatedRwa,估算风险加权资产,资本估值,contextual,万元,资本充足率,估算RWA(万元),源字段直取,False,False,False,保留空值，不用均值替代目标银行
pb,市净率,资本估值,contextual,,估值指标,PB(年末),源字段直取,False,True,True,保留空值，不用均值替代目标银行
pbMid,年中市净率,资本估值,contextual,,估值指标,PB(年中),源字段直取,False,False,False,保留空值，不用均值替代目标银行
rwaDensity,风险加权资产密度,资本估值,lowerBetter,%,资本充足率,RWA密度%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
cet1,核心一级充足%,资本充足率,contextual,%,资本充足率,核心一级充足%,源字段直取,False,False,True,保留空值，不用均值替代目标银行
businessLoanNpl,经营贷款不良率,零售结构,lowerBetter,万元,个人贷款分产品(万元/%),经营贷款不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
businessLoanShare,经营贷款占比,零售结构,contextual,万元,个人贷款分产品(万元/%),经营贷款占比%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
consumerLoanNpl,消费贷款不良率,零售结构,lowerBetter,万元,个人贷款分产品(万元/%),消费贷款不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
consumerLoanShare,消费贷款占比,零售结构,contextual,万元,个人贷款分产品(万元/%),消费贷款占比%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
housingLoanNpl,住房贷款不良率,零售结构,lowerBetter,万元,个人贷款分产品(万元/%),住房贷款不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
housingLoanShare,住房贷款占比,零售结构,contextual,万元,个人贷款分产品(万元/%),住房贷款占比%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
billDiscountNpl,票据贴现不良率,风险拨备,lowerBetter,万元,贷款结构(万元),票据贴现不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
corporateLoanNpl,公司贷款不良率,风险拨备,lowerBetter,万元,贷款结构(万元),公司贷款不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
hiddenNplExposure,隐性不良暴露率,风险拨备,lowerBetter,%,资产质量,隐性不良暴露率%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
npl,不良率,风险拨备,lowerBetter,%,资产质量,不良率%,源字段直取,False,True,False,保留空值，不用均值替代目标银行
overdueNplDeviation,逾期不良偏离度,风险拨备,lowerBetter,,资产质量,逾期-不良偏离度,源字段直取,False,True,True,保留空值，不用均值替代目标银行
personalLoanNpl,个贷不良率,风险拨备,lowerBetter,万元,贷款结构(万元),个人贷款不良%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
profitPpopGap,净利与拨备前利润增速缺口,风险拨备,contextual,百分点,派生,,净利润增速 - PPOP增速,True,False,False,依赖字段缺失则为空，图表自动切换或提示
provisionCoverage,拨备覆盖率,风险拨备,higherBetter,%,资产质量,拨备覆盖率%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
